iter	Logloss
0	0.6725991356
1	0.6529852702
2	0.6348836554
3	0.6187844238
4	0.6038122384
5	0.5902921462
6	0.5775655663
7	0.5659991833
8	0.5550821097
9	0.5453627232
10	0.536778547
11	0.5290314389
12	0.5217872794
13	0.514908036
14	0.5082393901
15	0.5023752078
16	0.4968864659
17	0.4916983614
18	0.4870109355
19	0.4828601772
20	0.4788040394
21	0.4751515517
22	0.4719686308
23	0.4687890538
24	0.466398035
25	0.4635383257
26	0.4612339114
27	0.4588293631
28	0.4568234151
29	0.4548611668
30	0.4530309317
31	0.4513258522
32	0.4497075006
33	0.4482164408
34	0.4469413612
35	0.4457105626
36	0.4445754918
37	0.4433958261
38	0.4422208179
39	0.4412540603
40	0.4403409889
41	0.4394176607
42	0.4387605881
43	0.4380525396
44	0.4372919224
45	0.4366697635
46	0.4360206241
47	0.4353961124
48	0.434872467
49	0.4343667486
50	0.4338366278
51	0.433440931
52	0.4329810311
53	0.4325452154
54	0.4321059672
55	0.4316870001
56	0.4312960815
57	0.4309582999
58	0.4305017017
59	0.4301510286
60	0.4298250427
61	0.4294767471
62	0.429137191
63	0.4288423462
64	0.4285108657
65	0.4282707461
66	0.428041376
67	0.4277627694
68	0.4274219244
69	0.4271714448
70	0.426847322
71	0.4266181568
72	0.4263983997
73	0.4261245902
74	0.4259290074
75	0.4256552226
76	0.4254366484
77	0.4252196394
78	0.4250017918
79	0.4248360712
80	0.4246304016
81	0.4244486767
82	0.4242378162
83	0.4240795986
84	0.4238647679
85	0.4236549886
86	0.4234548907
87	0.4233603792
88	0.4231753395
89	0.42301137
90	0.4228749491
91	0.4227826407
92	0.4225875796
93	0.4224194394
94	0.4223126729
95	0.4220763419
96	0.421940232
97	0.4217235645
98	0.4215735517
99	0.4214402509
100	0.4213401475
101	0.4211994847
102	0.4209910831
103	0.4208023536
104	0.4206848101
105	0.4204921773
106	0.4203009658
107	0.4202011167
108	0.4200879996
109	0.4200017657
110	0.4198938817
111	0.4197819519
112	0.4196901376
113	0.4194655093
114	0.4193013974
115	0.4191008897
116	0.4189245489
117	0.4187417704
118	0.418637861
119	0.4185229376
120	0.4183873059
121	0.4182999892
122	0.4181724214
123	0.4180388125
124	0.4178807925
125	0.4177826218
126	0.4176903323
127	0.4174836048
128	0.4173984099
129	0.4171966349
130	0.4170553531
131	0.4169242757
132	0.4168098537
133	0.4166944929
134	0.4166123308
135	0.416532571
136	0.4163854181
137	0.4163081723
138	0.4161952675
139	0.4160369611
140	0.415845302
141	0.4157224426
142	0.4155732102
143	0.4154721796
144	0.4154198565
145	0.4153026239
146	0.4151880391
147	0.4150184471
148	0.4149428406
149	0.4148407229
150	0.4147447394
151	0.4146171003
152	0.4145057242
153	0.4143767046
154	0.4142316488
155	0.4141577395
156	0.4140571725
157	0.4139476943
158	0.4138338187
159	0.4137629336
160	0.4136888253
161	0.4135670878
162	0.4134767834
163	0.4133921378
164	0.4132919399
165	0.4131659531
166	0.4130426839
167	0.4129759594
168	0.4129025385
169	0.4128238831
170	0.4127346453
171	0.4125840745
172	0.4124824495
173	0.4123843529
174	0.4122808765
175	0.4121191464
176	0.4120374305
177	0.4119673927
178	0.4118971325
179	0.4118350772
180	0.4117428836
181	0.411609234
182	0.4114902169
183	0.41139286
184	0.4112841782
185	0.4112319946
186	0.411085317
187	0.4110054438
188	0.4108831017
189	0.4107603455
190	0.4106568371
191	0.4105504499
192	0.41042141
193	0.4102675244
194	0.4101202611
195	0.410017023
196	0.4099445612
197	0.409840194
198	0.4097612101
199	0.4096476789
200	0.4095760149
201	0.4095196969
202	0.4093837992
203	0.4093097462
204	0.4092027704
205	0.4090663321
206	0.4089644616
207	0.4088908677
208	0.4088277588
209	0.4087198995
210	0.4086078186
211	0.408513031
212	0.4083737415
213	0.4082537842
214	0.4081670329
215	0.4081112845
216	0.4079675017
217	0.4078973069
218	0.4077942301
219	0.4077117876
220	0.4075545364
221	0.4074889396
222	0.4073933338
223	0.4073349508
224	0.407226718
225	0.4071577701
226	0.4070454508
227	0.4069881185
228	0.4068790385
229	0.4067474016
230	0.4066702561
